MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
187172,Wilhelm von Schweitzer,Wilhelm von Schweitzer,,,Zeichnete. Eine Zeichnung von ihm findet sich in einem Album der Töchter der Bettine von Arnim.,piz,male,+,
299978,August Chwala,August Chwala (1857-1931),1857,1931,"August Chwala (1857–1931) war ein österreichischer Buch- und Kunstdrucker. - (https://de.wikipedia.org/wiki/Chwala, 17.05.2025)",piz,male,+,
12424,Robert Wagner Eisenwarenfabrik Chemnitz,Robert Wagner Eisenwarenfabrik Chemnitz,,,1888 in Chemnitz durch Robert Wagner gegründet. Stellte Gebrauchsgeräte und industrielles Mobiliar aus Stahlblech her. Produktion wurde nach 1948 durch die VEB Bemefa fortgesetzt. Rechtsnachfolger ist die BEMEFA Metallmöbel GmbH.,kif,,+,
8831,Metallwarenfabrik Hans Peter,Metallwarenfabrik Hans Peter,,,"Hans Peter wurde 1856 in Augsburg geboren und lernte das ""Ciseleur""-Handwerk bei der Firma A. Ritter in Esslingen. Diese war eine der Stammfirmen der Württembergischen Metallwarenfabrik (WMF) in Geislingen/Steige. Für die WMF war Hans Peter viele Jahre als Entwerfer von Produkten tätig, bevor er sich 1899 unter eigenem Namen in Esslingen selbständig machte. Seine Firma produzierte bis 1915 Produkte auf hohem gestalterischem Niveau. Er verstarb 1945 in Geislingen.",kif,,+,
153099,Liselotte Grenzau,Liselotte Grenzau (1914-),1914,,"Geboren am 01.10.1914. Vater: Georg Grenzau (Beruf: Buchdrucker, Verlagsinhaber). Mutter: Elsa Grenzau. Brüder: Rolf Grenzau, Hans Georg Grenzau.
Beginn der Ausbildung im Familienbetrieb im Alter von 16 Jahren, Übernahme des Betriebes nach der Verhaftung des Vaters 1945. Schließung des Betriebes Mitter der 1950er Jahren. Im Anschluss tätig in der VEB Zuckerfabrik Wolmirstedt, Konsum Wolmirstedt und anschließend im Altstoffhandel in Magdeburg.",piz,female,+,
8442,Johann Christoph Meyer (Verlag),Johann Christoph Meyer (Verlag),,,"Braunschweiger Verlag und Druckerei

""Geschäftsführer waren Heinrich Wilhelm Meyer (1716-1719), Friedrich Wilhelm Meyer (1719-1774)"" - gnd, 19.07.2020",kif,,+,http://d-nb.info/gnd/1042343144
2567,Kurt Vieweg,Kurt Vieweg (1881-1960),1881,1960,"Schauspieler, Intendanzsekretär, Kurator am Theatermuseum Meiningen",piz,male,+,
259642,Wilhelm Kempff (Kantor),Wilhelm Kempff (Kantor) (1866-1938),1866,1938,"Kgl. preuß. Musikdirektor, Kantor, Organist und Gesanglehrer in Jüterbog und Potsdam; Vater des Pianisten Wilhelm Kempff",piz,male,+,
22023,Eibauer Porzellanmanufaktur,Eibauer Porzellanmanufaktur,,,Porzellanmanufaktur in Eibau (heute Ortsteil der Gde. Kottmar im Oberlausitzer Bergland) 1858-1862,kif,,+,
24352,Birnbaum (Mühlenbesitzer),Birnbaum (Mühlenbesitzer),,,Mühlenbesitzer in Porta,piz,,+,
