MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
311289,Gunter Schalling,Gunter Schalling (1950-2012),1950,2012,"Drechslermeister; 09548 Seiffen, Am Rathaus 7; Spieldosen, Eierbecher mit Tablett für Puppenstuben, Serviettenringe",piz,male,+,
291859,Klaus Kunis,Klaus Kunis (1931-1996),1931,1996,"Aktivitäten: Entwerfer
Typ: Designer/in
Vorname: Klaus
Geburtsort: Zittau
Geburtsort (Land): Deutschland
Todesort: Chemnitz
Todesort (Land): Deutschland
Nationalität: Deutscher
Geschlecht: männlich
Datierung: 1931 - 1996
Literatur: Höhne, Günter, Das große Lexikon: DDR - Design, Köln: Komet, 2008. - Abbildung: 188


--------
1946-1949 Lehre als Lithograph
1952-1955 Studium an der Arbeiter- und Bauern-Fakultät für Bildende Kunst (Hochschule für Bildende Künste Dresden)
1955-1960 Studium der industriellen Formgestaltung an der Hochschule für bildende und angewandte Kunst Berlin-Weißensee
1960-1986 Gestalter im VEB Zentrale Entwicklung und Konstruktion, Gestaltungsatelier der VVB EBM (späteren Foron)

Arbeiten, u.a.:
Nähmaschine ""Veritas Mod. 8017"" - Diplomarbeit
Aluminium-Tafelgeräte und - Gefäße
Blumengießer aus Polystyrol (Export)
Herde, Waschmaschinen (u.a. WM 66)
Bau- und Möberbeschläge",piz,male,+,
269431,Heimatmuseum Münchingen,Heimatmuseum Münchingen,,,1969 Beginn der Sammeltätigkeit und 1971 Eröffnung der Heimatstube in privater Trägerschaft. 1986 wurde das Museum in kommunaler Trägerschaft der Stadt wiedereröffnet.,kiz,,+,
57792,Jack David Woodall,Jack David Woodall (1936-),1936,,Brigadier General Jack David Woodall (*1936) war von Juni 1986 bis August 1987 Kommandeur der U.S. Army Berlin Brigade. Zum Ende seines Kommandos in Berlin wurde er zum Major General befördert und zum V. US-Corps nach Frankfurt am Main versetzt. -(AlliiertenMuseum 16.08.2018),piz,male,+,
17645,Theodor Siebert,Theodor Siebert (1921-1991),1921,1991,"Theodor Leo Conrad Siebert.
Geboren am 01.08.1921 in Giewkerlauten (Kreis Tilsit, Ostpreußen).
Gestorben am 20.05.1991 in Wolmirstedt.
Vater: Friedrich Siebert (Schuhmachermeister).
Mutter: Auguste Siebert, geborene Springer.
Mitgliedschaft in der DAF und der HJ
Eintritt in die Wehrmacht am 15.02.1941 als Schütze. Beförderungen: 01.12.1941 Oberschütze; 01.02.1942 Gefreiter; 01.05.1943 Obergefreiter. Auszeichnungen: u.a. Eisernes Kreuz 2. Klasse im November 1944.
05/1945 bis 09/1945 Kriegsgefangenschaft - Internierungslager in Norwegen;
1947-1948 Kriegsgefangenschaft in Frankeich (Cherbourg; Chartres, Orleans - Gefangenennummer 1455131).

Januar 1948 Entlassung aus Kriegsgefangenschaft zur Familie nach Zielitz.
21.03.1948 Verlobung mit Ingeborg Range.

30.10.1948 Heirat mit Ingeborg Range.

nach 1945 Mitgliedschaft bei: SED, FDGB, DSF, DKB, DRK, VS.
Tätigkeit als Volkspolizist.

Bekannte Anschriften:
1948 Bevensen (Kreis Uelzen): Gollerner Weg 7
1948 bis 1949 - Zielitz
01.11.1949 bis 31.12.1949 - Wolmirstedt: Magdeburger Straße 1
01.01.1950 bis 12/ 1965 - Wolmirstedt: Rosa-Luxemburg-Straße 1
12/1965 bis 04/1972 - Wolmirstedt: Friedrich-Ebert-Straße 12 b
ab 1972 - Wolmirstedt: Samsweger Straße 54",piz,male,+,
344369,Hilfskomitee Dobrudscha,Hilfskomitee Dobrudscha,,,"Kirchliches Hilfskomitee, Vorgänger der Dobrudscha-Deutschen Landsmannschaft",kiz,,+,https://d-nb.info/gnd/15342-4
276035,J. F. Meyner (Maler),J. F. Meyner (Maler),,,"Deutscher Maler. Nachgewiesen 1774-1790. Tätig in Zwickau, bei Schloss Hartenstein und Freiberg (Sachsen). Porträtmaler.",piz,male,+,
31662,W. Ziervogel (Markscheider),W. Ziervogel (Markscheider),,,"Markscheider, tätig im Mansfelder Revier um 1819",piz,male,+,
120573,Johann Baptist Chesni,Johann Baptist Chesni (1590-1631),1590,1631,"JOH. BAPTISTAV: RITTER, auf Piltzinsleben RömKays. Churf. Saechs. und Fürstlich. Magdeb. Respective Geheimer, Cammer- und Bestalter Rath.

""Giovanni Batista [Johann Baptist] Ritter Chiesa [Chesni] [um 1590-4./14.4.1631"" - https://www.30jaehrigerkrieg.de/chiesa-chesni-giovanni-batista-johann-baptist-ritter/, 06.08.2022",,male,-,
205941,Bodendorfer Winzer-Verein,Bodendorfer Winzer-Verein,,,"1890 Gründung des Bodendorfer Winzervereins. 53 Bodendorfer Winzer, die den Weinbau meist als Nebenerwerb betrieben, vereinigten sich als Selbsthilfegruppe vor allem, um dem Preisdruck der Weinhändler zu begegnen.

1895 Der Winzerverein errichtete ein Genossenschaftsgebäude mit Gaststätte, Saal und Weinkeller.

1896 Eröffnung des Hauses Winzerverein zur Kirmes am ersten Sonntag im September. Die ersten Wirtsleute waren Christian und Katharina Schäfer. In der Kellerei wurden die Weinsorten Spätburgunder, Portugieser, Kleinberger, Riesling, und Müller Thurgau hergestellt. Bodendorfer Wein galt als einer der besten an der Ahr. Um die Jahrhundertwende ging der Weinbau, vor allem bedingt durch den Reblaus-Befall, stark zurück.

1967 Im Hause wurde der letzte Bodendorfer Wein gekeltert

1968 Der Winzerverein löste sich auf. Das Gebäude samt den letzten Weinbeständen fiel an den Winzerverein Dernau, der es kurz darauf an die Volksbank weiterverkaufte. Im Winzerverein befand sich von Anfang an bis in die 60er Jahre eine Raiffeisenkasse, die später von der Volksbank übernommen wurde.

Das ehemalige Genossenschaftsgebäude beherbergte bis zu seinem Abriss 2021 die Winzergaststätte Bad Bodendorf. Heute steht an der Stelle ein Wohngebäude.",kiz,,+,
18661,Fotoatelier Samson & Co. (Koblenz),Fotoatelier Samson & Co. (Koblenz),,,"Fotoatelier in Koblenz, Clemensstr. 15, belegt Anf. 20. Jh.

Die Firma Samson & Co. unterhielt Ateliers in zahlreichen deutschen Städten.",kif,,+,
115307,Gebr. Kügler GmbH,Gebr. Kügler GmbH,,,Druckerei in Ingelheim.,kif,,+,
257244,William R. A. Bateman,William R. A. Bateman,,,William R. A. Bateman diente während der Berliner Luftbrücke im Rang eines Captain für das Royal Army Service Corps auf dem Flughafen Berlin-Gatow. Er war verantwortlich für die Enttankung der Transportflugzeuge.,piz,,+,
254892,Gottfried Marschner (Fleischer),Gottfried Marschner (Fleischer),,,"1766/67 Gemeindeältester in Neuschönau, Häusler und Fleischer in Neu-Schönau",piz,male,+,
191167,Schriftgiesserei Böttger-Klinkhardt,Schriftgiesserei Böttger-Klinkhardt,,,Schriftgießerei in Berlin und Leipzig.,kif,,+,https://d-nb.info/gnd/16344786-X
261968,Karl Friedrich Bauer,Karl Friedrich Bauer (1764-1809),1764,1809,"evang. Pfarrer, geb. 2.9.1764 Potsdam, gest. 27.6.1809 Zossen, 1790-1795 Diakon in Zossen, 1795-1809 Oberpfarrer u. Superindendent (Inspektor) in Zossen
(Otto Fischer: Evangelisches Pfarrerbuch für die Mark Brandenburg seit der Reformation. Berlin 1941, Bd. 2, T. 1, S. 34)",piz,male,+,
165277,Wilhelm Helwig (Firma),Wilhelm Helwig (Firma),,,"Unternehmen in Laubach, Oberhessen. Stellte Stahlpflüge her.",kif,,+,
25325,Fotoatelier Müller-Kirchhofer,Fotoatelier Müller-Kirchhofer,,,"Fotoatelier in
- Basel, Clarastraße 5
- Herisau, Casernenstrasse
- Zürich, Villa Sofia, Seefeldstrasse 21

belegt Ende 19./Anf. 20. Jh.",kif,,+,
76249,Stowasser János Hangszergyára,Stowasser János Hangszergyára,,,""" Stowasser (Stohwasser), Familie
Weit verzweigte, aus Graslitz/Böhmen (Kraslice/CZ) stammende Instrumentenbauerfamilie.
... Johann (Janos): * 21.5.1846 Graslitz, † 9.2.1923 Budapest?. Eröffnete 1867 eine Instrumentenbauwerkstätte in Budapest. 1905 erhielt er ein Patent für die Verbesserung des (klarinettenähnlichen) Tárogatós. Seine Instrumente wurden 1900 auf der Pariser Weltausstellung mit einer Goldmedaille prämiert. ..."" - https://www.musiklexikon.ac.at/ml/musik_S/Stowasser_Familie.xml, 07.06.2020",kif,,+,
53025,Adam Wydra,Adam Wydra (1953-),1953,,"Polnischer Künstler, Wola Gulowska, Polen.",piz,male,+,
