MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
271350,Friedrich Pühl,Friedrich Pühl (1809-),1809,,"Iserlohner Fabrikarbeiter; V: Joh. Caspar Henrich Pühl, M: Philippine Christina Klincke. Er war seit 1832 verheiratet mit Henriette Diemel (* 1807).

Geburtsjahr erschlossen aus der Altersangabe beim Traueintrag. Aus der im späten 18. und frühen 19. Jh. in Iserlohn weitläufigen Familie Pühl wurden im selben Zeitraum mehrere Kinder auf den Namen ""Friedrich"" getauft, von denen einige als Kinder starben. Die korrekte Zuordnung fiel offensichtlich sogar den eintragenden Predigern schwer. Die Altersangaben bei den Trauungen z.B. wurden zum Teil mehrfach durchgestrichen und überschrieben.",piz,male,+,
28220,Joachim von Oettingen-Flochberg,Joachim von Oettingen-Flochberg (1477-1520),1477,1520,"Graf, Sohn des Grafen Ulrich von Öttingen-Flochberg und der boehmischen Prinzessin Barbara Podiebrad",pik,male,+,http://d-nb.info/gnd/1108109179
163865,Wilhelm Barchet,Wilhelm Barchet,,,Einwohner in Fußgönheim (1945),piz,male,+,
193488,Fotoatelier C. Schulz,Fotoatelier C. Schulz,,,"Fotoatelier in
- Trier, Dietrichstraße 216",kif,,+,
256334,Arthur W. Schnarr,Arthur W. Schnarr (1922-2002),1922,2002,"Arthur W. Schnarr diente in der US-amerikanischen Luftwaffe. Seinen Kriegseinsatz begann er als Pilot auf North American B-25 Mitchell im Pazifik. Nach Kriegsende wurde er in Japan stationiert und 1946 zurück in die USA zu einem Transportgeschwader mit Fairchild C-82 verlegt. Am 04.07.1948 begann sein Einsatz als Pilot auf Douglas C-54 für die Berliner Luftbrücke, der bis zum 03.06.1949 dauerte. Er war bis November 1948 in Frankfurt am Main, dann Celle stationiert. Insgesamt flog er 315 Luftbrückenflüge nach Berlin. Danach wurde er in der Pilotenausbildung der US Air Force und im Korea-Krieg eingesetzt. Er trat als Major in den Ruhestand.",piz,male,+,
6538,Helene Lehmann,Helene Lehmann (1897-1977),1897,1977,geb. Strömann,piz,female,+,
24254,Koll (Mühlenbesitzer),Koll (Mühlenbesitzer),,,"Mühlenbesitzer in Pregelswalde, Kreis Wehlau",piz,,+,
274588,Theodor Ernst (Bootsbauer),Theodor Ernst (Bootsbauer) (1903-1961),1903,1961,"Theodor Ernst (1903 Berlin -1961 Berlin), Schiffbau-Meister, Konstrukteur, Werftbesitzer, erfolgreicher Segler und Motorbootrennfahrer",piz,male,+,
339600,Anton Gottfried Steiner,Anton Gottfried Steiner (1749-1819),1749,1819,"Professor am katholischen Gymnasium in Breslau, lehrte auch an der theologischen Fakultät der Leopoldina (Universität Breslau).",piz,male,+,
322976,Franz D. Detler,Franz D. Detler (1785-1835),1785,1835,Medailleur in Wien.,piz,male,+,https://d-nb.info/gnd/1038746353
24298,Ruchid Pacha (Mühlenbesitzer),Ruchid Pacha (Mühlenbesitzer),,,Mühlenbesitzer in Üsküb,piz,,+,
