MD ID,Name,prefName,geb,gest,Besch,Typ,Geschlecht,Status,GND
344829,Johann Gottlieb Harwarth,Johann Gottlieb Harwarth,,,"Maler in Königsberg. Geboren in Königsberg, Sohn eines gleichnamigen Schneiders. 1784 nachgewiesen, gestorben vor 1835. Porträtmaler, Pastellmaler. Möglicherweise identisch mit dem von H. Degen 1790 erwähnten Maler Harwarth.",piz,male,+,
21153,Arthur Ermel,Arthur Ermel,,,"Militärische Ausbildung um 1910.
Vermutlich Teilnahme am 1. Weltkrieg.
Bekanntschaft mit Buchbinder und Soldat Arthur Wunderlich.",piz,male,+,
341378,Melchior Thun,Melchior Thun (-1637),,1637,"Maler in Danzig. Geboren um1680, tätig in Danzig. Porträt- und Historienmaler. Schüler von Caspar Kriengel (um 1630-1660).",piz,male,+,https://d-nb.info/gnd/1243889764
234974,Karoline Wilhelmine Henriette Eisfeld,Karoline Wilhelmine Henriette Eisfeld (-1896),,1896,"geborene Priese, geboren um 1824/25, Tochter des Arbeiters Georg Gottlieb Priese. 2. Ehefrau des Malers Albert Eisfeld. Stammte aus Brandenburg an der Havel, ging vor 1868 mit Albert Eisfeld nach Berlin, wo sie noch lange als Witwe lebte. Das Paar hatte vier Kinder, eventuell auch nur zwei, weil zwei Kinder aus erster Ehe mit einer älteren Schwester stammten.",piz,female,+,
9900,Willy Rodenberg,Willy Rodenberg (1904-1975),1904,1975,"Letzter Inhaber der Töpferei Rodenberg in Sommersdorf, die bis 1969 bestand. Willy Rodenberg hatte Ende der 1920er Jahre vier Semester an der Keramischen Fachschule in Bunzlau studiert.
Zu Beginn der 1930er Jahre übernahm er zusammen mit seinem Bruder Erich den väterlichen Betrieb, führte ihn später dann allein weiter. 1939 legte er die Meisterprüfung ab. Bereits zu Beginn des 19. Jahrhunderts kam das Grundstück an den Bouteillenfabrikanten Tobias Heinrich Gabriel Rodenberg und wies dort bis Ende der 1960er Jahre die Töpferei Rodenberg aus.",piz,male,+,
123296,Ernst Friedrich Schneider (Münzmeister),Ernst Friedrich Schneider (Münzmeister),,,"""Schneider, Ernst Friedrich
Münzmeister in Coburg ab 1634."" - https://ikmk.smb.museum/ndp/person/1895, 22.06.2020",piz,male,+,
182027,Christine Hahn (Musikerin),Christine Hahn (Musikerin),,,"Spielte Gitarre, Keyboard und Schlagzeug in der Band ""Malaria!""",piz,female,+,
273621,Theodor Schulte-Strathaus,Theodor Schulte-Strathaus (1899-1984),1899,1984,"Theodor Schulte-Strathaus war deutscher Verleger und Maler.

""Strathaus oder Schulte-Strathaus ist der Familienname folgender Personen:"" - (Wikipedia (de) 27.07.2024)",piz,male,+,https://d-nb.info/gnd/143479687
64963,Tiberius Iulius Candidus Celsus (Harpasos),Tiberius Iulius Candidus Celsus (Harpasos),,,"""Möglicherweise Proconsul in Asia ca. 139 bis 147 n. Chr.
Sein Name ohne Amtstitel findet sich auf antoninischen Münzen aus Harpasos in Karien, die Bildnisse des Demos oder des jugendlichen Marc Aurel zeigen (RPC IV Temp. Nr. 897-898, datiert ca. 139-147 n. Chr.).
Lit.: PIR2 I 242; G. R. Stumpf, Numismatische Studien zur Chronolopgie der römischen Statthalter in Kleinasien (1991) 296 f.; W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 591 (139-161 v. Chr.); Th. Corsten, Lexicon of Greek Personal Names V B. Coastal Asia Minor: Caria to Cilicia (2013) s. v. Kandidos (Nr. 2) (139-161 n. Chr.)."" - https://www.ikmk.uni-tuebingen.de/object?id=ID123, 07.02.2019",piz,,+,
337731,Ernst Friedrich Gaab,Ernst Friedrich Gaab (1830-1902),1830,1902,"Evang. Pfarrer, u.a. in Eberdingen und Cannstatt",piz,male,+,
180027,Erich Meeh,Erich Meeh,,,"Diplom-Ingenier, Prokurist einer Bergbau-Firma ab 1.2.1947 für mindestens 25 Jahre",piz,male,+,
4663,Ruthild Deus,Ruthild Deus,,,"Frau Deus ist eine engagierte Pankowerin, die sich sehr für dessen Geschichte interessiert und das Museum in der Alten Bäckerei in Pankow in der Wollankstraße 134 leitet (nachgewiesen 1995-2024).",piz,female,+,
336658,Ed. Hölzermann (Verlag),Ed. Hölzermann (Verlag),,,Ansichtskartenverlag in Köln um 1905,kif,,+,
19056,Ludwig Kretschmer,Ludwig Kretschmer (-1845),,1845,"Ludwig Kretschmer, gest. 2. Febr. 1845 in Kirchberg an der Jagst, OT Lendsiedel, pensionierter Hauptmann der Kgl. Bayerischen Armee, Verfasser militärischer Schriften, Maler",piz,male,+,
209456,Verlag Carl Sallmann,Verlag Carl Sallmann,,,Fachbuchverlag und Buchhandlung für Medizin und Naturwissenschaften Basel und Leipzig.,kif,,+,
211030,Fred Hüning,Fred Hüning (1966-),1966,,"Fotograf, geboren in Kellinghusen.",piz,male,+,https://d-nb.info/gnd/143802410
232216,"L. Fernbach, Bunzlau (Verlag)","L. Fernbach, Bunzlau (Verlag)",,,"Verlag in Bunzlau (Schlesien), nachweisbar mindestens 1910–1936
Gab neben Büchern u.a. auch Fotografien heraus (auf Kabinettfoto um 1890/1900 nachgewiesen als ""Verlag der Photographischen Kunstanstalt L. Fernbach, Bunzlau""; 1926 auch Verlag ""Der Photograph"", L. Fernbach), druckte Aktien (1910 nachweisbar) u.v.a.; 1936 ""Verlagsanstalt, Drucksachen, Klischees"".",kif,,+,
