ID,Name,PrefName,Geboren,Gestorben,Anmerkung,Typ,Geschlecht,Status,GND
292091,authentics,authentics,,,"Typ: Körperschaft
Datierung: *1983

--------
Marke, von Hansjerk Maier-Aichen gegr. Kunststoffklassiker aus durchscheinend weißem Polypropylen, z.B. konische Wäschetonne Stool, auch als Hocker nutzbar, Abfalleimer Mini Can mit Schwingdeckel in der kuppelförmigen Kappe (hatte bis zu 55 Kopien). 2000 verkauf an Flötotto",kif,,+,
8573,Paul Dröhmer,Paul Dröhmer (1833-1886),1833,1886,"Berliner Künstler, fertigte auch Kupferstiche an.",piz,male,+,
10450,"PGH ""Elektronik"" Erfurt","PGH ""Elektronik"" Erfurt",,,Produktionsgenossenschaft in Erfurt.,kif,,+,
68698,Fotoatelier Salomon Weitzmann,Fotoatelier Salomon Weitzmann,,,"Fotoatelier in
- Wien XVII, Calvarienberggasse 37

""Weitzmann, Salomon
(auch: Waitzmann)
biografischer Abriss
“(1866-1922) Fotograf. Um 1885 erstes Atelier in Wien, 1912 Hoftitel. — Bekannter Wiener Atelierfotograf, Porträts.“ in: Otto Hochreiter, Timm Starl, “Lexikon zur österreichischen Fotografie“, in: Geschichte der Fotografie in Österreich, Band 2, hrsg. von Otto Hochreiter und Timm Starl im Auftrag des Vereins zur Erarbeitung der Geschichte der Fotografie in Österreich, Ausst.-Kat., Bad Ischl 1983, 93-209, 192
Jahr von 1866 bis 1922"" - http://sammlungenonline.albertina.at/?query=/record/ccid=[19AB8451CEED4F9A8BCFBF55B32D1A42]&label=Bio-Bibliografie-zur-Fotografie-in-Österreich&showtype=record, 11.05.2019",kif,,+,
312972,Stempel-Schneider Konstanz,Stempel-Schneider Konstanz,,,"Stempelhersteller in Konstanz, am Schnetztor.",kif,,+,
72942,Walter Trapp (Numismatiker),Walter Trapp (Numismatiker) (1921-2010),1921,2010,"""Trapp, Walter (12.07.1921 - 12.03.2010)
Rechtspfleger und Justizoberamtsrat in Düsseldorf. Münzsammler.
Vorsitzender der Düsseldorfer Münzfreunde von 1967 bis 2009, der Rheinischen Münzfreunde von 1973 bis 2002. Vorsitzender der Deutschen Numismatischen Gesellschaft von 1995 bis 1998.
Lit.: R. Albert, NNB 59, 2010, 197 f."" - https://www3.hhu.de/muenzkatalog/ikmk/object?id=ID6216, 18.02.2020",piz,male,+,
324513,Sebastian Hirschmann (Weprowatz),Sebastian Hirschmann (Weprowatz),,,wurde zwischen 1914 und 1916 geboren; lebte in Weprowatz,piz,male,+,
58500,Martinus (Münzmeister),Martinus (Münzmeister),,,"""Merowingischer Monetar in Mainz ca. 600-620.
Zum Monetarnamen Martinus s. E. Felder, Die Personennamen auf den merowingischen Münzen der Bibliothèque nationale de France (2003) 257."" - https://ikmk.smb.museum/ndp/person/3245",piz,,+,
313660,"Derek, Whiteley",Derek Whiteley,,,könyvkiadással foglalkozó személy,piz,male,+,
330100,"Felix Bergwald, Buch- und Papierhandlung","Felix Bergwald, Buch- und Papierhandlung",,,"Firma in Rixdorf (Berlin-Neukölln), Berlinerstr. 40, die um 1900 auch Amsichtskarten verlegte.",kif,,+,
263600,Alexej Schnese,Alexej Schnese (1743-1801),1743,1801,Münzmeister in St. Petersburg von 1766 bis 1772,piz,male,+,
31423,Sängerbund Templin,Sängerbund Templin,,,1832 gegründeter Gesangverein in Templin,kiz,,+,
307273,Franz Xaver Honold,Franz Xaver Honold (1881-1939),1881,1939,"Franz Xaver Honold war der letzte badische Gesandte in Berlin. Am 26. August 1881 in Riedböhringen auf der Baar geboren, kam der Referendar Honold 1906 nach Karlsruhe, wo er sein juristisches Staatsexamen ablegte und sich als Rechtsanwalt beim Oberlandesgericht niederließ. (Internet)",piz,male,+,
262912,William C. Perkins,William C. Perkins (1924-2006),1924,2006,"William C. Perkins diente während der Berliner Luftbrücke bei der US-amerikanischen Luftwaffe im Rang eines Lieutenant. Nach Angaben der BZ Berlin vom 29.09.1989 brachte Perkins in über 200 Flügen nach Berlin damals zumeist meist Kohle in die blockierte Stadt. Perkins nahm im Rang eines Colonel Abschied von der US Air Force. 
Nach Huschke, Rosinenbomber, S.351 war Perkins
Metereologe im Rang eines First Lieutenant und in Frankfurt Rhein Main, Faßberg, Tempelhof und Tegel beim 18th Weather Squadron stationiert. Er nahm im Rang eines Lieutenant Colonel Abschied von der US Air Force.",piz,male,+,
177246,Albert Kahle,Albert Kahle (1815-1891),1815,1891,"""Ernst Albert Fürchtegott KAHLE, 1815-1891, 1852 Pfarrer in Caymen, 1866 Pfarrer an der Löbenichtschen Kirche in Königsberg, Consistorialrath in Königsberg."" - https://genealogischenotizen.blogspot.com/2015/08/die-haupts-in-schippenbeil.html, 29.09.2021",piz,male,+,https://d-nb.info/gnd/116021098
285979,Georg Ferdinand Oehler,Georg Ferdinand Oehler (1777-1850),1777,1850,"geboren am 23. Oktober 1777 in Crimmitschau, gestorben am 14. März 1850 in Crimmitschau;
Kaufmann und Firmeninhaber",piz,male,+,
34621,Alfred Krause (Glaskunst),Alfred Krause (Glaskunst),,,"Tätig in Glasraffinerie Steinschönau (Kamenický Šenov), Lebensdaten unbekannt",piz,male,+,
172044,Otto Gödel,Otto Gödel (1922-2002),1922,2002,"Otto Gödel (1922–2002), Schuhmacher, Winzer und Heimatforscher

Fast 50 Jahre war er Heimatforscher aus Passion. Unter Fach­ leuten genoss Gödel höchste Kompetenz, seine profunden Kenntnisse wurden geschätzt. Im Auftrag des Amtes für Denk­ malschutz grub, begutachtete und dokumentierte er jahrelang archäologische Funde im Kreis. Sein Urteil wurde gehört und anerkannt.
Er war Ehrenmitglied der POLLICHIA, der Museumsgesellschaft Bad Dürkheim und des Heimatvereins Leistadt.",piz,male,+,
125936,Dibold (Oberbaurat),Dibold (Oberbaurat),,,"Baurat, entwarf Gebäude für Uhrmacherschule in Furtwangen.",piz,,+,
150836,Erich Jäger GmbH (Würzburg),Erich Jäger GmbH (Würzburg),,,"""Die VIASYS Healthcare GmbH war ein Hersteller von medizinischen Diagnose- und Therapiegeräten und ist heute Teil der amerikanischen Firma Vyaire Medical. Gegründet wurde das Unternehmen 1954 in Höchberg als Erich JAEGER GmbH. Nachdem die Erich JAEGER GmbH 2001 der VIASYS Healthcare-Gruppe beigetreten war, änderten sie ihren Namen zum 1. Januar 2003 zu VIASYS Healthcare GmbH. 2007 wurde die VIASYS-Gruppe von Cardinal Health übernommen und in den Bereich CareFusion eingegliedert. CareFusion wurde aber 2009 aus dem Unternehmen ausgegliedert und war bis 2016 eigenständig. Danach wurden Teile der Firma CareFusion an die neu gegründete Firma Vyaire Medical mit Sitz in Lake Forrest, Illinois (USA) abgetreten."" - https://wuerzburgwiki.de/wiki/VIASYS_Healthcare_GmbH, 19.10.2020",kif,,+,
259341,Gottschick (Forstwart),Gottschick (Forstwart),,,"Forstwart in Agenbach, heute OT von Neuweiler (1844 nachgewiesen)",piz,,+,
40999,Lucas Meyer (Bildhauer),Lucas Meyer (Bildhauer),,,"Todesdatum: (vor) 1782
Erwähnungsdatum: 1747
Ornamentbildhauer, Schnitzer",piz,male,+,
73200,Thrasymenes (Rhodos),Thrasymenes (Rhodos),,,"""Thrasymenes
Magistrat in Rhodos/Karien zwischen ca. 170 und 125 v. Chr.
Die numismatische Forschung kennt Belege für den Zeitraum 170-150 sowie 150-125 v. Chr.
Eine überzeugende Scheidung kann hier vorerst nicht geleistet werden.
Lit.: W. Leschhorn, Lexikon der Aufschriften auf griechischen Münzen II (2009) 558."" - https://ikmk.smb.museum/ndp/person/10035, 18.10.2020",piz,,+,
185886,Franz Jan Bartels,Franz Jan Bartels (1894-1947),1894,1947,"Bartels, Franz Jan Adolf Heinrich (geb. 30.07.1894 Magdeburg-gest. 09.07.1947 Magdeburg), war Maler und Grafiker.
Über seine Vita ist wenig bekannt. In Magdeburg besuchte er die Kunstgewerbeschule, zu seinen Lehrern gehörte Franz Fiebiger. Zusammen mit Max Dungert und Bruno Beye war er 1919 Initiator zur Gründung der Künstlervereinigung Die Kugel in Magdeburg. Sein Vater war Besitzer einer Gaststätte “Goldene Kugel”, von der dieser Begriff stammen könnte. Seine Graphiken der frühen 1920er Jahre sind von expressionistischem Gestus geprägt (Abb. in Zeitschriften der Kugel, 1919/20). Für die späteren Arbeiten ist dagegen ein schlichter Realismus charakteristisch. Beye und B. bestritten die letzte Kugel-Ausstellung 1929. Seine wesentlichen Sujets sind Porträts, Landschaften und Stilleben. Kriegsverluste haben das Werk reduziert.
Werke: Konvolut von Zeichnungen im KHM Magdeburg.
Literatur: Kat. Magdeburger Kunstausstellung 1948; Renate Hagedorn, “Die Kugel” – eine Künstlervereinigung der 20er Jahre, Kat. Magdeburg 1993/94.",piz,male,+,
332097,Reinhard Edmund Buschbeck,Reinhard Edmund Buschbeck (1876-1957),1876,1957,"Spielwarenhersteller aus Seiffen/ Heidelberg, Brüderweg 7; Produkte: Engel und Bergleute 1914",piz,male,+,
31589,Verlag S. & G. Saulsohn,Verlag S. & G. Saulsohn,,,"Verlag in Berlin, C. 25. Nachgewiesen 1899-1909. Verlegte Ansichtskarten.",kif,,+,
126249,Eugen Kempf,Eugen Kempf (1879-1925),1879,1925,"Pfarrer in Albersweiler/Pfalz (Diözese Speyer), geboren 1879, verstorben 1925",piz,male,+,https://d-nb.info/gnd/1182000096
302421,August Karl Eduard Weinland,August Karl Eduard Weinland (1879-1953),1879,1953,letzter Besitzer des Gelben Hauses am Hafenmarkt in Esslingen,piz,male,+,
260885,Friedrich Christian Kissner,Friedrich Christian Kissner (-1849),,1849,"Handelsmann in Frankfurt am Main, auch Privatlehrer in den kaufmännischen Wissenschaften. Belegt ab 1834, verstorben vermutlich 1849 (oder 1848; aus dem Jahr 1849 existiert eine Nachlaßakte).
Quelle: Adressbuch Frankfurt am Main 1834-1844; Institut für Stadtgeschichte Frankfurt am Main: https://arcinsys.hessen.de/arcinsys/detailAction?detailid=v10648800",piz,male,+,
334840,Hansjörg Eder,Hansjörg Eder (1956-),1956,,"Restaurator und Maler in Riedlingen (Donau), geb. ebenda",piz,male,+,
124274,Ludwig Lony,Ludwig Lony (1880-1947),1880,1947,"Der Architekt Ludwig Lony besuchte zunächst von 1897 bis 1899 die Bautechnische Abteilung der Kunstgewerbeschule Offenbach. Ab 1899 studierte er an der
Technischen Hochschule Berlin und wechselte 1902 an die Technische Hochschule Hannover. Anschließend war er in verschiedenen Meisterateliers in Zürich, Frankfurt, Hannover und Düsseldorf tätig. 1909 übersiedelte er nach Trier und wirkte bis 1945 als Lehrer an der Baugewerkschule. Daneben unterrichtete er bis 1934 auch Kunstgeschichte, Kostüm- und Schmuckkunde an der Handwerker- und Kunstgewerbeschule.",piz,male,+,
21970,Alfred Reichelt,Alfred Reichelt,,,Stellte Spielzeug her. Nachgewiesen für Zeit um 1930,piz,male,+,
