ID,Name,PrefName,Geboren,Gestorben,Anmerkung,Typ,Geschlecht,Status,GND
127292,Töpferzunft Ziesar,Töpferzunft Ziesar,,,"Zunft der Töpfer zu Ziesar, nachgewiesen 1771-1779",kiz,,+,
66332,Heinrich Carl Tölcke,Heinrich Carl Tölcke (-1792),,1792,"""Hofinstrumentenbauer für Holzblasinstrumente in Braunschweig nach 1760"" - gnd, 06.06.2019",piz,male,+,http://d-nb.info/gnd/103515921X
263863,Ernst W. Maiwald,Ernst W. Maiwald,,,"Kaufmann, später Studium d. Volkswirtschaft u. d. Staatsrechts, 1921 Promotion, war für den Werberat der Deutschen Wirtschaft tätig und leitete gleichzeitig als stellvertretender Reichskommissar die deutsche Abteilung auf der Pariser Weltausstellung, seit 1935 Hauptgeschäftsführer des Ausstellungsvereins 'Große Ausstellung Düsseldorf-Schlageterstadt 1937 für Städtebau, Siedlung, Gartengestaltung, Kunsthandwerk und Gewerbe e.V.' (später 'Schaffendes Volk, Große Ausstellung Düsseldorf-Schlageterstadt 1937'), nach dem Krieg Organisation weiterer Ausstellungen im In- und Ausland 
https://d-nb.info/gnd/1123217238",piz,male,+,https://d-nb.info/gnd/1123217238
282525,Ingeborg Janosch,Ingeborg Janosch,,,Lehramtsstudentin an der Pädagogischen Hochschule Alfeld; sie studierte dort zwischen 1950 und 1970,piz,female,+,
331071,Christoph Krentzer,Christoph Krentzer,,,"Uhrmacher, hatte eine Leipziger Werkstatt, welche 1727-1730 belegbar ist.",piz,male,+,
192989,Schaffgotsch (Adelsgeschlecht),Schaffgotsch (Adelsgeschlecht),,,"Die Grafen Schaffgotsch sind ein altes schlesisches Adelsgeschlecht mit einer erloschenen Linie in Böhmen, welches ursprünglich den Namen Scof (Schaf, nach der Helmzier ihres Wappens) trug und aus Franken kam.

Die Scof zählten seit dem 16. Jahrhundert zu den größten Grundbesitzern Schlesiens und brachten Generäle, Bischöfe und Unternehmer hervor. Der Leitname „Gotsche“ (Gotthard) wurde später dem Familiennamen angehängt.[1]",pif,,+,
49888,Pieter Pieterszon van Dyck,Pieter Pieterszon van Dyck,,,Kupferstecher. Nachgewiesen für 1683.,piz,male,+,
149474,Fotoatelier W. Beermann,Fotoatelier W. Beermann,,,"Fotoatelier in
- Gleiwitz, Kronprinzen-Straße 90",kif,,+,
23684,Export-Import Bank Warna,Export-Import Bank Warna,,,"Bank mit Spezialisierung auf internationale Handelsgeschäfte, belegt 1909",kif,,+,
24141,Engelhardt (Mühlenbesitzer),Engelhardt (Mühlenbesitzer),,,Um 1902 Mühlenbesitzer in Ammelstedt,piz,,+,
59471,Charecaucius,Charecaucius,,,"""Merowingischer Monetar in Friesland ca. 600-675.
Zum Monetarnamen Charecaucius s. E. Felder, Die Personennamen auf den merowingischen Münzen der Bibliothèque nationale de France (2003) 170. 202."" - https://ikmk.smb.museum/object?id=18208246, 18.02.2019",piz,,+,
128167,Claude Savary,Claude Savary,,,1622/1642. Verleger in Frankreich.,piz,male,+,
313803,Robert Fricke (Architekt),Robert Fricke (Architekt),,,"Architekt in Wuppertal-Elberfeld, erwähnt 1929 und 1938",piz,male,+,
269994,Anneliese Weiß,Anneliese Weiß (1915-2006),1915,2006,"geb. Hartke, Lehrerin, Geburtsort Enger, Wirkungsort Minden",piz,female,+,
38498,Ephraim Gottlieb Gutsche,Ephraim Gottlieb Gutsche (1749-),1749,,"""Gymnasium Zittau; Jurastudium in Leipzig; Maler"" - gnd, 10.07.2021",piz,male,+,http://d-nb.info/gnd/1165242680
287727,Reinhold Klüser,Reinhold Klüser (1913-),1913,,Reinhold Klüser (*1913 in Essen) war ein deutscher Architekt.,piz,male,+,
35750,W. von d. Borch,W. von der Borch,,,Schlesische Zeichnerin. Nachgewiesen Ende 18. Jh. in Berlin und Breslau. Porträtzeichnerin.,piz,female,+,http://d-nb.info/gnd/1137217103
350098,Gesellschaft der Freunde und Förderer für ein Deutsches Krankenhausmuseum e.V.,Gesellschaft der Freunde und Förderer für ein Deutsches Krankenhausmuseum e.V.,,,Förderverein in Oldenburg (nachgewiesen 1977-1991),kiz,,,
32095,L. Bisch (Lithograf),L. Bisch (Lithograf),,,"Französischer Lithograf, Wirkungsdaten: 1846-1867",piz,,+,http://d-nb.info/gnd/1050424883
262321,Oskar Dahlke,Oskar Dahlke (1914-1998),1914,1998,deutscher Fotograf und Künstler in Berlin,piz,male,+,https://d-nb.info/gnd/1207557137
117274,Fotoatelier Metropol,Fotoatelier Metropol,,,"Fotoatelier in
- Brno",kif,,+,
141414,Paul von Pola,Paul von Pola,,,"Este, der im ersten Weltkrieg als Gefangener in Ohrdruf festgehalten wurde, wo von ihm Tonaufzeichnungen angefertigt wurden.",piz,male,+,
30102,Karl Stein (Müllerschüler),Karl Stein (Müllerschüler),,,Schüler der Deutschen Müllerschule in Dippoldiswalde. Nachweis für 1899.,piz,male,+,
301097,Certified International Corporation,Certified International Corporation,,,"Certified International Corporation (CIC) ist ein 1942 in New York gegründetes US-amerikanisches Unternehmen, das sich auf die Herstellung und den Vertrieb von Haushaltswaren, insbesondere Geschirr, Besteck und Küchenaccessoires, spezialisiert hat. Das Unternehmen vertreibt seine Produkte unter verschiedenen Marken über den Einzelhandel und den Gastronomiesektor. Der Hauptsitz befindet sich in Pleasantville, New York.",kif,,+,
227697,"Hotel- und Gaststättenverband e.V., Kreisstelle Tuttlingen im Bergland Junge Donau","Hotel- und Gaststättenverband e.V., Kreisstelle Tuttlingen im Bergland Junge Donau",,,Regionaler Verband (nachgewiesen 1983),kiz,,+,
13662,Chiron (Figur in Goethes Faust),Chiron (Figur in Goethes Faust),,,Figur in Goethes Faust,pxl,,+,
312341,Georg Kummer's Verlag,Georg Kummer's Verlag,,,"1909 in Leipzig gegründeter und ansässiger Verlag. Nach 1945 bestand keine Verlagstätigkeit mehr. (gnd, 24.03.2025)",kif,,+,https://d-nb.info/gnd/1056899352
167176,Friedrich Wilhelm Heinrigs,Friedrich Wilhelm Heinrigs (1819-1856),1819,1856,Stellte um 1850 einen Stadtplan von Köln her.,piz,male,+,
340831,Elli Lisser,Elli Lisser (1883-1943),1883,1943,"Elli Lisser war eine deutsche Fotografin, die ab 1916 ein eigenes Atelier in der Kaiserallee 26 in Berlin betrieb. 1943 wurde sie in das KZ Auschwitz deportiert, wo sie ermordet wurde. 

Quelle: https://www.stolpersteine-berlin.de/de/duppelstr/32/elly-lisser [Abruf: 18.12.2025]",piz,female,+,
73999,VVB Braunkohle,VVB Braunkohle,,,Braunkohle-Unternehmen in der ehemaligen DDR.,kif,,+,
258660,Ingeborg Budach,Ingeborg Budach,,,deutsche Schauspielerin (nachgewiesen 1949/590 in Neuruppin),piz,male,+,
152238,Alfred Reach,Alfred Reach,,,Alfred Reach war vermutlich ein jüdischer Kaufmann und Verleger. Er wirkte in der 1. Hälfte des 20. Jahrhunderts in Leipzig.,piz,male,+,
83734,Nira Schwartz,Nira Schwartz (1938-),1938,,Malerin in Israel und Japan,piz,female,+,
328600,Franz Mudlagk,Franz Mudlagk (1863-1937),1863,1937,"Tischer in Berlin, zuletzt in Berlin-Kaulsdorf",piz,male,+,
206430,"Maschinenfabrik Oscar Möschler, Meerane","Maschinenfabrik Oscar Möschler, Meerane",,,"Oskar Möschler, Meeraner Maschinen- und Webstuhlfabrik Die Maschinenfabrik Oscar Möschler, Meerane bestand seit 1902 und wurde durch Volksentscheid vom 30. Juni 1946 zu Gunsten des Landes Sachsen enteignet. Zwischen 1948 bis 1953 wurde die volkseigene Maschinenfabrik als Webstuhlreparatur des Rates der Stadt Meerane fortgeführt. (Quelle Sächs. Staatsarchiv Dresden).",kif,,+,
127338,Volkssolidarität Templin,Volkssolidarität Templin,,,"Volkssolidarität, -Kreisausschuß-, 209 Templin, Straße der Deutsch-Sowjetischen Freundschaft (Straße der DSF) 30.",kiz,,+,
230851,Lehmannsche Buchdruckerei (Dresden),Lehmannsche Buchdruckerei (Dresden),,,Druckerei in Dresden-Neustadt,kif,,+,https://d-nb.info/gnd/1053822901
125305,Franz Thiele (Bäcker),Franz Thiele (Bäcker),,,Franz Thiele war in der 1. Hälfte des 20. Jahrhunderts Bäckermeister in Bitterfeld. Er war Inhaber der Bäckerei Thiele. Seit Mitte der 1920er Jahre war er Mitglied der Bitterfelder Schützengilde.,piz,male,+,
6173,Johann Heinrich Hamer,Johann Heinrich Hamer,,,Stellte in Iserlohn Tabaksdosen her. (tätig 1754-1762),piz,male,+,
18887,Manfred Augurzki,Manfred Augurzki (1948-),1948,,"1970 -1971 Grundstudium an der Hochschule für Industrieelle Formgestaltung Halle Burg Giebichenstein
1971 - 1976 Studium an der Hochschule für Grafik und Buchkunst Leipzig
1976 Abschluß als Diplomgrafiker
seit 1976 freiberuflich in Magdeburg
1978 -1989 Leiter von Schülerförderkursen für Grundlagenvermittlung auf künstlerischem Gebiet
April - Mai 1990 Werkstattaufenthalt im Schloß Wolfsburg
seit 1993 Kursleitung ""Zeichnen im Museum"" in der Jugendkunstschule THIEM20 Magdeburg",piz,male,,
349313,Jutta Rödling,Jutta Rödling (1942-),1942,,"gebürtige Magdeburgerin, ist ausgebildete Fotolaborantin und Fotografin und hat zwischen 1964 und 2005 als Fotografin im Kulturhistorischen Museum Magdeburg gearbeitet.",piz,female,+,
78286,Patricia R. Smith,Patricia R. Smith,,,Autorin. Schreibt über historische Puppen.,piz,female,+,http://d-nb.info/gnd/132175460
2130,"Verlag, Druckerei & Buchhandlung Wilhelm Meissner Nachfolger","Verlag, Druckerei & Buchhandlung Wilhelm Meissner Nachfolger",,,"Der Verlag, Druckerei & Buchhandlung von Wilhelm Meissner Nachfolger war ab ca. 1907 Nachfolgebetrieb des Postkartenverlag von Wilhelm Meissner in Bitterfeld. Zu seinen Inhabern gehörten Heinrich Pötzsch und kurz Hans Taeger, später dann Paul Sladek. Nach dem Tod von Sladek 1926 führte allein Pötzsch das Unternehmen.",kif,,+,
116035,Verlag Wolfgang Weidlich,Verlag Wolfgang Weidlich,,,Verlag in Frankfurt am Main.,kif,,+,
50650,Simon Köfferl,Simon Köfferl (1545-1585),1545,1585,"""Simon Köfferl (Köfferlein)
Nürnberger Rechenmeister des 16. Jahrhunderts.

* 1545? ; † 21.11.1585 in Nürnberg (Beerdigung)"" - https://www.astronomie-nuernberg.de/index.php?category=personen&page=koefferlein-simon, 09.05.2020",piz,male,+,
114008,Ludwig Wiedemann,Ludwig Wiedemann (1690-1754),1690,1754,Kupferschmied und Rotgießer,piz,,+,http://d-nb.info/gnd/129673722
345760,Irma Prescher,Irma Prescher (1873-1941),1873,1941,Grafikerin und Illustratorin in Breslau und Berlin († um 1941 vielleicht in Breslau),piz,female,,
132090,Georg Engelmann (Ratsherr),Georg Engelmann (Ratsherr) (1595-1655),1595,1655,"""Ratsherr und Handelsmann in Chemnitz"" - gnd, 03.04.2021",piz,male,+,https://d-nb.info/gnd/11546333X
73130,Lucien Naville & Co.,Lucien Naville & Co.,,,Münzhandel. Unternehmen in Genf,kif,,+,https://d-nb.info/gnd/10154134-X
163135,Stadt Münster,Stadt Münster,,,Die Stadtgemeinde Münster in Westfalen als Gebietskörperschaft sowie ihre Verwaltung,kio,,+,
153583,Förderverein Museum Weißenfels e.V.,Förderverein Museum Weißenfels e.V.,,,"Der 1991 gegründete Förderverein Museum Weißenfels e. V. unterstützt das stadtgeschichtliche Museum auf Schloss Neu-Augustusburg und das nahe gelegene Stadtarchiv von Weißenfels.
 
Zu unseren Mitgliedern zählen ehemalige Mitarbeiter des Museums, geschichtlich interessierte Einwohner und eine jüngere Generation kultureller Akteure, die die Museumsarbeit bereits als studentische Praktikanten oder Freiwillige begleitet haben. Dieser Zusammenschluss von Gleichgesinnten bildet die Grundlage für unsere gemeinsamen Aktivitäten.

Unser Ziel ist es, das Interesse für die regionale Traditionspflege, Heimatkunde und Historie von Weißenfels und Umgebung zu wecken. Die Regionalgeschichte soll erforscht und durch Vorträge, Publikationen und Ausstellungen im Museum vermittelt werden. Aus Vereinsmitteln tätigen wir Ankäufe und beteiligen uns an der Finanzierung von Restaurierungen.

Wir unterstützen das Museum bei der Durchführung von Veranstaltungen. Jährlich finden im Mai die Weißenfelser Museumsnacht und der Internationale Museumstag statt sowie am letzten Wochenende im August das Weißenfelser Schlossfest. Passend zum barocken Standort des Museums bereichern wir zu diesen Anlässen in historischen Kostümen das „höfische Treiben“ und gestalten den Umzug des Schlossfests mit. Die wiederkehrenden Sommer- und Weihnachtskonzerte der Weißenfelser Hofkapelle unterstützen wir ebenso. Einmal jährlich reinigen wir die Fürstengruft.
 
Das Museum im Schloss Neu-Augustusburg ist die am häufigsten besuchte kulturelle Bildungsstätte in Weißenfels. Wir möchten auch in Zukunft die Sammlungen des Museums erweitern, erhalten, restaurieren und publizieren. Allerdings steht das Museum Weißenfels vor einigen inhaltlichen und räumlichen Herausforderungen, die es schrittweise zu lösen gilt. Deswegen möchten wir seine Kommunikation nach außen stärken. Des Weiteren engagieren wir uns für eine engere Verbindung zum Stadtarchiv. 

Um diese Zwecke und Ziele kontinuierlich zu verfolgen, benötigen wir Ihre Mithilfe! Neben einem finanziellen Beitrag können Ihre Ideen und Ihre aktive Unterstützung dazu beitragen, Attraktivität des Museums und des Archivs zu steigern sowie die aktive Vereinsarbeit zu verbessern.",kiz,,+,
259421,Adolph Müller (Kanzleirat),Adolph Müller (Kanzleirat) (1809-1880),1809,1880,"*14.08.1809 Frankfurt am Main, +19.12.1880 Frankfurt am Main; Kanzleirat, ab 1847 Privatier in Frankfurt, mäzenatisch tätig.
Vollständiger Name: Theodor Adolf (auch: Adolph) Jacob Emanuel Müller.
Quelle: Frankfurter Personenlexikon: https://frankfurter-personenlexikon.de/node/9116",piz,male,+,
277089,Verlag Eduard Gericke,Verlag Eduard Gericke,,,"Verlag in Berlin um 1900, Wassertorstraße 70",kif,,+,
20552,Christoph Dietrich Petersen,Christoph Dietrich Petersen (1721-),1721,,"Zinngießer, Meister seit 1750",piz,,+,
137292,Jeremias Dumenil,Jeremias Dumenil,,,"Verleger, Kupferstecher - tätig 1601/1650.",piz,male,+,
186163,Johann Carl Meinert,Johann Carl Meinert (1774-),1774,,Kammerassessor beim Preußischen Generaldirektorium in Berlin,piz,male,+,
16933,Friedrich Weber (Verlag),Friedrich Weber (Verlag),,,"Verlag in Ronneburg, 19. Jh.",kif,,+,
113237,Heinrich Buschmann (Druckerei),Heinrich Buschmann (Druckerei),,,Druckerei in Münster/Westf.,piz,,+,
172724,Thomas Jan Walter,Thomas Jan Walter (1791-1866),1791,1866,"Dr. Thomas Jan Walter (*22.03.1791 Harderwijk, +13.06.1866 Apeldoorn) war Arzt in Apeldoorn. Am 03.04.1823 heiratete er Wilhelmina Gunning(h), die älteste Tochter des bekannten Apeldoorner Industriellen Johannes Hermanus Gunning(h) (Besitzer der Papierfabrik ""De Vlijt""). Er war ein Nachbar der Familie Röntgen in der Hooftstraat.",piz,male,+,
33684,Hoppe (Familie),Hoppe (Familie),,,"Familie in Templin, dort belegt 1916/18",pif,,+,
140205,Monte Ballou,Monte Ballou,,,"Banjo-Spieler, Mitglied von ""The Famous Castle Jazz Band"" (1944–1954, 1957–1977)",piz,male,+,
255951,Louis Poirot de Valcourt,Louis Poirot de Valcourt (1771-1855),1771,1855,französischer Agronom und Autor (Mémoires sur l'agriculture),piz,male,+,https://d-nb.info/gnd/112960764X
122839,Caspar Ayrer,Caspar Ayrer (1561-1636),1561,1636,"""Ayrer, Caspar (1561-1636?)
Münzmeister in Frankfurt am Main 1618 bis 1636. Münzmeisterzeichen AE sowie Kratzeisen.
1620: Arbeitet mit Georg Nürnberger. 
1625: Ende der Zusammenarbeit mit Cousin Hans Jakob Ayrer.
Ab 1625 nur Münzzeichen Ayrers. 
Ab 1626 meist Hans Schmidt. 
Von 1627 bis 1636 Ayrer und Schmidt gemeinsam. Münzmeister auf Lebenzeit.
Lit.: P. Joseph - E. Fellner, Die Münzen von Frankfurt am Main (1896) 210."" - https://ikmk.smb.museum/ndp/person/1577, 15.10.2021",piz,male,+,http://d-nb.info/gnd/1188992538
67173,Johanne Caroline Stübel,Johanne Caroline Stübel (1753-1853),1753,1853,"""Johanne Caroline Stübel
18.11.1773 Langensalza - 21.11.1853 Dresden
- Ehefrau des deutschen Juristen und Königlich Sächsischen Hof- und Justizrates Christoph Karl Stübel"" - http://sammlungsdatenbank-museen-dresden.de/de/entitySearch?artId=69665, 17.03.2019",piz,female,+,
202023,Fotoatelier Theodor List,Fotoatelier Theodor List,,,"Fotoatelier in
- Schärding am Inn, Schlossgasse 5 II
- Obernberg am Inn, ""In den Anlagen des neuen Sparkassengebäudes""",kif,,+,
324623,Katharina Weigand,Katharina Weigand (1922-1925),1922,1925,lebte in Gakowa; vermutlich Tochter von Juliana und Sebastian Weigand.,piz,male,+,
73560,P. Sulpicius Galba,P. Sulpicius Galba,,,"""Pontifex. Aedil 69 v. Chr."" - gnd, 29.11.2024",piz,,+,https://d-nb.info/gnd/1186997958
25300,Wiener Spielwarenfabrik Emil Pfeiffer,Wiener Spielwarenfabrik Emil Pfeiffer,,,"Spielzeughersteller in Wien.
""Das Unternehmen wurde 1873 gegründet und stellte ab etwa 1880 auch Figuren für Kinder her. Nachdem wenig später die ersten Spielzeug-Eisenbahnen Einzug in die Kinderzimmer hielten, formte Pfeiffer hierfür beispielsweise Figuren für das Bahnpersonal und auch andere Figuren, die das Spiel mit einen Bahnhof lebendig wirken ließen. Die Materialien für solche Spielfiguren bestanden aus einer aus Sand, Müllereiabfällen und Kastanienmehl in ausrangierten Bäckermaschinen zusammengerührten Kompositionsmasse."" - Wikipedia über Emil Pfeiffer (Spielzeughersteller), 24.06.2017",kif,,+,
135305,Johann Georg Schuster,Johann Georg Schuster (1634-1672),1634,1672,"1634 Lauf - 1672 Heidelberg
Jurist. Advokat in Nürnberg
1666 Rat des Grafen Pappenheim
1669 Rat des Pfalzgrafen zu Sulzbach
1671 Geh.Rat des Kurfürsten von der Pfalz.",piz,male,+,https://d-nb.info/gnd/129678376
314295,Josef Ronge,Josef Ronge,,,"Seit 1914 Imker und Mitglied im Schlesischen Landesvereins für Bienenzucht im Zweigverein Zuckmantel, feierte 1939 25-jähriges Jubiläum.",piz,male,+,
17271,Güldner Motoren-Werke,Güldner Motoren-Werke,,,"""Das Unternehmen wurde 1904 in München als „Güldner-Motoren-Gesellschaft GmbH“ von Hugo Güldner, Carl von Linde und Georg Krauß gegründet. Bereits 1906 wurde der Sitz nach Aschaffenburg verlegt.
1929 übernahm „Lindes Eismaschinen“ das Unternehmen Güldner vollständig."" - http://www.landtechnik-historisch.de/historische-landmaschinen/gueldner/, 13.06.2020",kif,,+,http://d-nb.info/gnd/5557849-4
153429,Dagmar Engelbrecht,Dagmar Engelbrecht,,,"Designerin oder Schneiderin, Herstellerin von Damenmoden.",piz,female,+,
256384,W. Sähngen & Co.,W. Sähngen & Co.,,,Die Firma W. Sähngen & Co. war eine Fabrik für Verbandsstoffe und Sanitätsausrüstungen in Wiesbaden in den 1940er Jahren.,kif,,+,
302341,Monogrammist Fr. B.,Monogrammist Fr. B.,,,Maler um 1900,piz,,+,
55002,"Imprenta de Juan Llorens, Barcelona","Imprenta de Juan Llorens, Barcelona",,,Druckerei und Verlag in Barcelona. Nachgewiesen für Zeit um 1850.,kif,,+,
270609,Gebr. Habel Weingroßhandlung,Gebr. Habel Weingroßhandlung,,,"Weingroßhandlung und Weinstuben in Berlin, gegründet 1779, Unter den Linden 30 (1937 umnummeriert in 21)",kif,,+,
259564,Luftwaffenmuseum,Luftwaffenmuseum,,,"Luftwaffenmuseum der Bundeswehr in Berlin (1987-2011), 2011 umbenannt in Militärhistorisches Museum der Bundeswehr - Flugplatz Berlin-Gatow",kio,,,https://d-nb.info/gnd/10012355-7
297398,DDR. Ministerium für Post- und Fernmeldewesen,DDR. Ministerium für Post- und Fernmeldewesen,,,Ministerium für Post- und Fernmeldewesen der DDR,kio,,+,
173973,Alexander von Imhof-Spielberg,Alexander von Imhof-Spielberg (1766-1828),1766,1828,"""Hofbeamter, Postbeamter, Schriftsteller"" - gnd, 14.09.2025",piz,male,+,https://d-nb.info/gnd/130276286
190408,Eduard Albrecht-Hagen,Eduard Albrecht-Hagen (1954-),1954,,Eduard Albrecht-Hagen ist ein deutscher Grafiker.,piz,male,+,https://d-nb.info/gnd/174174586
124001,Johann Michael Lindner,Johann Michael Lindner (-1692),,1692,"""Lindner, Johann Michael (hingerichtet 1692)
Rechenpfennigmacher, tätig von 1686 bis 1692, in Nürnberg/Franken."" - https://ikmk.smb.museum/ndp/person/3464, 26.07.2020",piz,male,+,
205709,Hommelwerke GmbH (Mannheim),Hommelwerke GmbH (Mannheim),,,Unternehmen für Präzisionswerkzeuge in Mannheim-Käfertal.,kif,,+,
229666,Margot Güntzel,Margot Güntzel (1913-),1913,,"Malerin, Zeichnerin, Graphikerin, Keramikerin, Werbegraphikerin und Bühnenbildnerin, geboren 1913 in Tarnowitz/Oberschlesien. Ab 1935 Besuch der Dekorationsfachschule Hamburg, 1935–37 Volontariat am Landestheater Beuthen, 1937–49 Studium an der Akademie der Bildenden Künste in München. Mitglied im Berufsverband Bildender Künstler und der Gedok München, tätig in München",piz,female,+,
67466,Glassstudio im Museum Baruther Glashütte,Glassstudio im Museum Baruther Glashütte,,,Das Glasstudio im Museum Baruther Glashütte ist ein Ort der museumpdäagogischen Vermittlung der praktischen Glaskultur. Die Glasmachenden Christoph Hübner und Stephanie Schulz sind Kulturtalente die das Immaterielle Kulturerbe der manuellen Glasfertigung pflegen.,kiz,,+,
202536,Wolfgang Reich,Wolfgang Reich (1922-),1922,,"geb. 1922 in Eilenburg/b. Leipzig. Studium der Volks- und Betriebswissenschaft, Pädagogik und Psychologie. Seit 1962 Leiter der Berufsbildenden Schule in Neustadt/Weinstr.",piz,male,+,
2075,Susanne Engelhardt (Keramikerin),Susanne Engelhardt (Keramikerin) (1979-),1979,,"Keramikerin, Dresden, geb. 8.2.1979",piz,female,+,
269428,Verlag G. H. Franke,Verlag G. H. Franke,,,"Als Verleger von Ansichtskarten in Berlin nachgewiesen durch ein 1913 verschicktes Exemplar mit der Aufschrift ""No. 119 verlag G. H. Franke, Berlin O., Rewalerstr. 17",kif,,+,
73075,Lucius Fabius L. f. Hispaniensis,Lucius Fabius L. f. Hispaniensis,,,"""Römischer Quaestor 82-81 v. Chr."" - gnd, 05.06.2020",piz,,+,https://d-nb.info/gnd/1186999535
128921,Hans Holbein (der Ältere) - Schule,Hans Holbein (der Ältere) - Schule,,,"Schule des Hans Holbein, des Älteren.",siu,,+,
68793,Grieben-Verlag G.m.b.H.,Grieben-Verlag G.m.b.H.,,,Verlag in Berlin. Nachgewiesen für 1932.,kif,,+,
277436,Kunstverlag Marie Bertling,Kunstverlag Marie Bertling,,,Kunstverlag in Glauchau in Sachsen (als Herausgeber einer Ansichtskarte nachgewiesen um 1913),kif,,+,
308609,WeTEXBau GmbH,WeTEXBau GmbH,,,Chemnitzer Unternehmen (nachgewiesen 2000),kif,,+,
272264,Paul Oelgart (Verlag/Fotoatelier),Paul Oelgart (Verlag/Fotoatelier),,,Berliner Verlag/Fotoatelier um 1900. Als Inhaber wird Paul Wildenhayn angegeben.,kif,,+,
224404,Érsekhalmi postahivatal,Érsekhalmi postahivatal,,,"Érsekhalmi postahivatal, a hozzá kapcsolódó gyűjteményi anyagot a Postamúzeum őrzi.",kiz,,+,
49164,Fotoatelier Edouard Fabronius,Fotoatelier Edouard Fabronius,,,"""Fabronius, Edouard
Life dates: 
Bruges, 1847 - Brussels - Woluwe-Saint-Lambert, 1911
Activity: 1873 * - 1880 / Bruxelles, Marché aux Herbes, 86
Edouard Bartholomé, ° 12.11.1847; + 12.8.1911. Arrived from Aix-la-Chapelle [Prussia] on 8.5.1867. Son of lithographer Barthélemy Fabronius. He was active in various studios as a journeyman photographer, in particular from 16.4.1873 as an operator at Gecele’s studio. He moved to Rue aux Choux, 7 on 19.3.1880, then to Rue Fossé aux Loups, 22 on 30.6.1880. He again moved to Brussels - Saint-Josse, Rue Saint-Lazare, 37 on 2.3.1881, then returned to Rue Fossé aux Loups on 29.5.1886, apparently his private address (there was no studio here).
1882 - 1908 Bruxelles, Rue Neuve, 5 then 9 [82-91] renumbered 11 [91-08]
Successor: Brees Jules (at no. 11)
Specialised in permanent carbon and platinotype portraits, enlargements, etc. Left for Brussels - Schaerbeek on 28.6.1904, but the studio continued to appear in the directories of 1905 and 1906 and this remained his address in ABP membership lists until 1907.
1900 * - 1901 Bruxelles, Boulevard du Jardin Botanique, 19
He advertised that he would transfer to this address from Rue Neuve, 11 on 1.10.1900 (L'Indépendance Belge, 28.9.1900).
1901 Bruxelles - Saint-Gilles, Avenue Brugmann, 73
Listed in the Monod directory of 1901, but it is not known whether he had a portrait studio at this address.
1902 - 1908 Bruxelles - Schaerbeek, Rue Royale Sainte-Marie, 283 or 285
In ABP membership list, recorded at this address only in 1908.
1910 - 1912 Bruxelles, Avenue Louise, 41
Successor: Boute Eugène (negatives)
Operated as ""Maison Fabronius"" with no first name from 1911 onwards, indicating that the studio had already been sold on. Note that Gustave Buyle (see that name) is also recorded at this address, 1906-1912. Fabronius' negatives were acquired by the Boute studio.
Locations:
1873 * - 1880 / Bruxelles, Marché aux Herbes, 86
1882 - 1908 Bruxelles, Rue Neuve, 5 then 9 renumbered 11
1900 * - 1901 Bruxelles, Boulevard du Jardin Botanique, 19
1901 Bruxelles - Saint-Gilles, Avenue Brugmann, 73
1902 - 1908 Bruxelles - Schaerbeek, Rue Royale Sainte-Marie, 283 or 285
1910 - 1912 Bruxelles, Avenue Louise, 41
Exhibitions
Brussels, 1883; Brussels, 1888; Brussels, 1891; Antwerp, 1894 (gold medal); Brussels, 1897 (gold medal); Paris, 1900; Effort, 1901 (no address); Brussels, 1902; Liège, 1902; Ghent ABP, 1903; Louvain, 1904."" - https://fomu.atomis.be/index.php/fabronius-edouard;isaar, 26.02.2023",kif,,+,
329154,Sebastian Hölzl,Sebastian Hölzl,,,Münzmeister in Kuttenberg (Kutná Hora) von 1617 bis 1632,piz,male,+,
53990,Verband der Krippenfreunde Österreich,Verband der Krippenfreunde Österreich,,,""" Statuten
§ 1: Name, Sitz und Tätigkeitsbereich
Der Verein führt den Namen: „Verband der Krippenfreunde Österreichs“.
Er hat seinen Sitz in A-6175 Kematen, Dorfstraße 4.
Er erstreckt seine Tätigkeit als Dachverband über das gesamte Bundesgebiet Österreich und angrenzende Länder und ist Mitglied der Internationalen Vereinigung der Krippenfreunde UNIVERSALIS – FOEDERATIO – PRAESEPISTICA (UN-FOE-PRAE). ..."" (Auszug aus den Statuten des Vereins, https://www.krippe.at/statuten/, 14.03.2020)",kiz,,+,
123394,Titus Cominius Proculus (Zypern),Titus Cominius Proculus (Zypern),,,"""Titus Cominius Proculus
Prokonsul unter Claudius in Zypern 43-44 n. Chr.
Sein Name erscheint zusammen mit dem Titel Anthypatos.
Lit.: RPC I 578. 580 Nr. 3932-3933."" - https://ikmk.smb.museum/ndp/person/4584, 02.09.2021",piz,,+,
62234,"Weber, Lippold (Münzmeister)",Lippold Weber (Münzmeister),,,"""Weber, Leopold (Germ.) Also called Lippold Weber. Mintmaster at Clausthal, 1640-1674"" - Forrer, Leonhard, ""Biographical Dictionary of Medaillists"", London 1916, Bd. 6, S. 404",piz,,+,
188891,Eugen Hardt G.m.b.H.,Eugen Hardt G.m.b.H.,,,Buchdruckerei in Stuttgart,kif,,+,
300239,KM Zündholz International Karl Müller GmbH,KM Zündholz International Karl Müller GmbH,,,"Die KM Zündholz International Karl Müller GmbH aus Meckesheim ist ein Unternehmen zur Produktion von Sicherheitszündhölzern, Feuerzeugen und Anzündern.",kif,,+,
